layer,tokens,time_us
act_fn,8,0.160000
act_fn,16,0.342000
act_fn,32,0.708000
act_fn,64,1.308000
act_fn,128,1.714000
act_fn,256,2.528000
act_fn,512,4.154000
act_fn,1024,7.406000
act_fn,2048,13.912000
down_proj,8,10.582667
down_proj,16,10.799333
down_proj,32,10.661333
down_proj,64,11.042667
down_proj,128,22.693333
down_proj,256,45.781333
down_proj,512,94.391333
down_proj,1024,193.466000
down_proj,2048,383.878667
final_layernorm,8,0.862000
final_layernorm,16,0.530667
final_layernorm,32,0.506667
final_layernorm,64,0.626667
final_layernorm,128,0.993333
gate_up_proj,8,24.225333
gate_up_proj,16,22.014000
gate_up_proj,32,21.065333
gate_up_proj,64,26.314667
gate_up_proj,128,52.757333
gate_up_proj,256,104.021333
gate_up_proj,512,202.896000
gate_up_proj,1024,404.264667
gate_up_proj,2048,794.440000
layernorm,8,1.726050
layernorm,16,1.064700
layernorm,32,1.016367
layernorm,64,1.258533
layernorm,128,1.994367
layernorm,256,3.754667
layernorm,512,5.965333
layernorm,1024,10.120000
layernorm,2048,16.068000
o_proj,8,3.016000
o_proj,16,3.714667
o_proj,32,3.138667
o_proj,64,5.800000
o_proj,128,10.640667
o_proj,256,13.842000
o_proj,512,26.234667
o_proj,1024,69.447333
o_proj,2048,139.672667
qkv_proj,8,13.040117
qkv_proj,16,12.389050
qkv_proj,32,14.163233
qkv_proj,64,14.944900
qkv_proj,128,28.267850
qkv_proj,256,67.884667
qkv_proj,512,117.371333
qkv_proj,1024,216.724000
qkv_proj,2048,429.256000
rotary_emb,8,0.550000
rotary_emb,16,1.188000
rotary_emb,32,2.074000
rotary_emb,64,3.056000
rotary_emb,128,3.958000
rotary_emb,256,6.384000
rotary_emb,512,10.638000
rotary_emb,1024,17.224000
rotary_emb,2048,34.866667
